,,,,,,,,
,parent_name,parent_ticker,spinoff_name,spinoff_ticker,spinoff_date,,,
,Orbital ATK,OA,Vista Outdoor,VSTO,2/9/15,,,
,Inland American Real Estate Trust,IARE,Xenia Hotels & Resorts,XHR,2/3/15,,,
,Vornado Realty Trust,VNO,Urban Edge Properties,UE,1/15/15,,,
,Fidelity National Financial Ventures,FNFV,New Remy,REMY,12/31/14,,,
,Reckitt Benckiser Group,RBGLY,Indivior PLC,INDV,12/23/14,,,
,B/E Aerospace,BEAV,KLX Inc,KLXI,12/17/14,,,
,Occidental Petroleum,OXY,California Resources Corporation,CRC,11/30/14,,,
,Ashford Hospitality Trust,AHT,Ashford Inc,AINC,11/12/14,,,
,Newcastle Investment Corp,NCT,New Senior Investment Group,SNR,11/6/14,,,
,Liberty Media,LMCA ,Liberty Broadband,LBRDA ,11/4/14,,,
,Agilent Technologies,A,Keysight Technologies,KEYS,11/1/14,,,
,Kimberly-Clark Corporation,KMB,Halyard Health,HYH,10/31/14,,,
,Compuware Corporation,CPWR,Covisnt,COVS,10/31/14,,,
,Kimball International,KBAL,Kimball Electronics,KE,10/31/14,,,
,Automatic Data Processing,ADP,CDK Global,CDK,9/30/14,,,
,Exelis,XLS,Vectrus,VEC,9/27/14,,,
,Liberty Ventures,LVNTA ,Liberty TripAdvisor Holdings,LTRPA ,8/27/14,,,
,Tribune Media,TRBAA,Tribune Publishing,TPUB,8/4/14,,,
,Demand Media,DMD,Rightside Group,NAME,8/1/14,,,
,Noble Corporation,NE,Paragon Offshore,PGN,8/1/14,,,
,CBS Corporation,CBS,CBS Outdoor Americas,CBSO,7/16/14,,,
,International Paper,IP,Veritiv Corp,VRTV,7/1/14,,,
,Timken Co,TKR,TimkenSteel,TMST,6/30/14,,,
,Chesapeake Energy,CHK,Seventy Seven Energy,SSE,6/30/14,,,
,NorthStar Realty Finance,NRF,NorthStar Asset Management,NSAM,6/30/14,,,
,Rayonier,RYN,Rayonier Advanced Materials,RYAM,6/27/14,,,
,Time Warner,TWX,TIME Inc,TIME,6/6/14,,,
,The Ensign Group,ENSG,CareTrust REIT,CTRE,6/2/14,,,
,Theravance Inc,THRX,Theravance Biopharma,TBPH,6/2/14,,,
,National Oilwell Varco,NOV,NOW Inc,DNOW,5/28/14,,,
